# index, name, _pos
420,POL2,"array([ 17.18944154, -22.8677218 ])"
421,POP2,"array([25.91420934, 13.90236158])"
422,POT1,"array([ 45.38482315, -51.91730151])"
423,POX1,"array([ 11.93774917, -12.37187006])"
424,PPR1,"array([  9.35215348, -26.27352986])"
425,PRB1,"array([  7.42656556, -23.93214842])"
426,PRE6,"array([43.1803572 , 13.53367491])"
427,PRI1,"array([-18.61468273, -48.33417448])"
428,PRI2,"array([-22.13717798,   9.16102076])"
429,PRM1,"array([  9.21997364, -27.53223182])"
430,PRM3,"array([27.82969199, 19.68149864])"
431,PRM5,"array([ 14.43955449, -10.23714245])"
432,PRO1,"array([30.97494046,  7.04654715])"
433,PSD1,"array([ 17.92203618, -14.96811164])"
434,PST1,"array([  3.72672001, -20.66343145])"
435,PST2,"array([  4.08778096, -20.96284386])"
436,PTP1,"array([  2.86030511, -21.10736281])"
437,PTP2,"array([36.02382245, 15.21066288])"
438,PTR2,"array([ 16.85318113, -27.86956455])"
439,PUT1,"array([ 15.69120858, -13.06321873])"
440,PUT2,"array([  9.61825528, -61.49276651])"
441,PUT4,"array([-30.22074148, -18.25918653])"
442,PXA1,"array([ -8.87197175, -59.66773304])"
443,PXA2,"array([ 9.38441596, 24.74813493])"
444,PYC1,"array([-19.66249096, -52.26309417])"
445,QCR2,"array([ 20.07672487, -61.3479419 ])"
446,QCR8,"array([19.48373936, 12.10888201])"
447,QDR1,"array([ 23.79177853, -57.01669942])"
448,RAD27,"array([ 23.74167364, -17.33784923])"
449,RAD5,"array([ -4.91564362, -62.67983792])"
450,RAD51,"array([ 4.14018985, -8.27990124])"
451,RAD53,"array([ 4.24118796, -7.01246182])"
452,RAD54,"array([-13.3937343 , -57.78856991])"
453,RAP1,"array([-21.28439818, -42.14606762])"
454,RAS2,"array([ -4.44946443, -11.33096223])"
455,RCS1,"array([  0.04633078, -12.52643349])"
456,REB1,"array([ 22.43494746, -20.53521122])"
457,REC102,"array([  6.33048377, -29.92510702])"
458,REC114,"array([ 14.71723236, -15.23865966])"
459,RED1,"array([ -1.93020919, -24.93408375])"
460,REG2,"array([32.20034307, 17.810692  ])"
461,RFA1,"array([ 15.99101889, -22.59206099])"
462,RFA2,"array([ 15.04691284, -22.32763613])"
463,RFA3,"array([ 12.84980184, -23.58960687])"
464,RFX1,"array([ 6.23364786, 17.44966656])"
465,RGT1,"array([11.36567623, -3.05032799])"
466,RIM101,"array([ 13.34574725, -30.3269172 ])"
467,RIM11,"array([ 16.19820512, -11.96129276])"
468,RIM4,"array([ 18.74856183, -13.3807352 ])"
469,RME1,"array([  7.76238488, -28.31426614])"
470,RNR1,"array([21.01821162, -8.69345226])"
471,RNR3,"array([23.41792149, -8.6022775 ])"
472,ROX1,"array([24.68468375, -7.56333269])"
473,RPH1,"array([24.48138059, -8.7862178 ])"
474,RPL19A,"array([22.84307103, -6.41366403])"
475,RPL19B,"array([22.80574771, -7.53612431])"
476,RPL24A,"array([16.55078282, -7.22024419])"
477,RPL40A,"array([ 36.92715849, -10.95273526])"
478,RPL4A,"array([ 36.58034566, -46.56610843])"
479,RPL4B,"array([  6.80939491, -34.56254935])"
480,RPM2,"array([  8.2715198 , -18.57889279])"
481,RPN1,"array([  0.80553063, -10.49083862])"
482,RPN11,"array([ -1.28026845, -11.65773844])"
483,RPN4,"array([  7.11068817, -20.91916017])"
484,RPP2B,"array([  9.96351111, -24.03329912])"
485,RPS13,"array([ 11.30907318, -15.82863751])"
486,RPS14A,"array([  5.75204488, -22.46297352])"
487,RPS14B,"array([ 21.63091217, -15.51414925])"
488,RPS6A,"array([ 13.65550291, -11.60417721])"
489,RPT1,"array([  8.36776315, -62.11738981])"
490,RS5,"array([ 21.69629029, -21.45777312])"
491,RTA1,"array([ 21.30135397, -22.3138372 ])"
492,RTG1,"array([ 20.15130542, -22.27515754])"
493,RTG1_RTG3,"array([ 24.69256968, -18.32952757])"
494,RTG2,"array([ 29.85305941, -14.38444056])"
495,RTG3,"array([ 22.13763268, -22.73826648])"
496,RTS2,"array([ 21.00804845, -18.71030721])"
497,SAG1,"array([ 23.34694935, -22.86227275])"
498,SAM2,"array([ 43.04001955, -44.43856706])"
499,SAN1,"array([ 18.77499444, -17.47934517])"
500,SCH9,"array([ 22.74054666, -21.79524374])"
501,SDH1,"array([  7.25966295, -13.99657547])"
502,SDH2,"array([35.81088276, 19.12327967])"
503,SDH3,"array([ 16.61224845, -20.69491711])"
504,SDH4,"array([ 12.42210276, -38.11813283])"
505,SDS3,"array([ 6.16951179, -3.1716795 ])"
506,SER1,"array([  4.59172563, -19.23241651])"
507,SER3,"array([ 7.86557453, -2.76280582])"
508,SFP1,"array([ 7.39572424, -4.49912892])"
509,SGA1,"array([ 8.4134499 , -3.69176026])"
510,SHM2,"array([  7.81851346, -22.77696974])"
511,SIC1,"array([  5.86559694, -18.25121758])"
512,SIN3,"array([  5.32957427, -14.52813371])"
513,SIP4,"array([-2.49819729, 14.09950544])"
514,SKI8,"array([ 21.98963699, -23.55469512])"
515,SKN7,"array([-27.97028888, -39.65233902])"
516,SKO1,"array([ 3.11389551, -7.62911727])"
517,SLZ1,"array([ 3.43411258, -4.36482577])"
518,SMF2,"array([14.02105416, -7.65159719])"
519,SMK1,"array([15.1739124 , -9.45768459])"
